,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
0,N,Norte,2017-01-01T00:00:00.000,4639.80583333
1,NE,Nordeste,2017-01-01T00:00:00.000,8634.615125
2,S,Sul,2017-01-01T00:00:00.000,8573.99591667
3,SE,Sudeste/Centro-Oeste,2017-01-01T00:00:00.000,31766.66541667
4,N,Norte,2017-01-02T00:00:00.000,5014.47933333
5,NE,Nordeste,2017-01-02T00:00:00.000,10103.16820833
6,S,Sul,2017-01-02T00:00:00.000,10797.92529167
7,SE,Sudeste/Centro-Oeste,2017-01-02T00:00:00.000,38180.87170833
8,N,Norte,2017-01-03T00:00:00.000,5117.393875
9,NE,Nordeste,2017-01-03T00:00:00.000,10690.63341667
10,S,Sul,2017-01-03T00:00:00.000,11899.29954167
11,SE,Sudeste/Centro-Oeste,2017-01-03T00:00:00.000,40269.48104167
12,N,Norte,2017-01-04T00:00:00.000,5169.67908333
13,NE,Nordeste,2017-01-04T00:00:00.000,10804.62370833
14,S,Sul,2017-01-04T00:00:00.000,12020.903125
15,SE,Sudeste/Centro-Oeste,2017-01-04T00:00:00.000,40233.04870833
16,N,Norte,2017-01-05T00:00:00.000,5145.07891667
17,NE,Nordeste,2017-01-05T00:00:00.000,10759.26408333
18,S,Sul,2017-01-05T00:00:00.000,11754.75625
19,SE,Sudeste/Centro-Oeste,2017-01-05T00:00:00.000,41149.54804167
20,N,Norte,2017-01-06T00:00:00.000,5235.891
21,NE,Nordeste,2017-01-06T00:00:00.000,10645.235625
22,S,Sul,2017-01-06T00:00:00.000,11395.111375
23,SE,Sudeste/Centro-Oeste,2017-01-06T00:00:00.000,41225.25558333
24,N,Norte,2017-01-07T00:00:00.000,5107.08408333
25,NE,Nordeste,2017-01-07T00:00:00.000,10107.50054167
26,S,Sul,2017-01-07T00:00:00.000,10247.13016667
27,SE,Sudeste/Centro-Oeste,2017-01-07T00:00:00.000,38586.61391667
28,N,Norte,2017-01-08T00:00:00.000,4757.782875
29,NE,Nordeste,2017-01-08T00:00:00.000,9380.08916667
30,S,Sul,2017-01-08T00:00:00.000,9631.761375
31,SE,Sudeste/Centro-Oeste,2017-01-08T00:00:00.000,35566.47829167
32,N,Norte,2017-01-09T00:00:00.000,5025.61195833
33,NE,Nordeste,2017-01-09T00:00:00.000,10667.257125
34,S,Sul,2017-01-09T00:00:00.000,12373.45825
35,SE,Sudeste/Centro-Oeste,2017-01-09T00:00:00.000,42120.394125
36,N,Norte,2017-01-10T00:00:00.000,5235.73470833
37,NE,Nordeste,2017-01-10T00:00:00.000,10933.38583333
38,S,Sul,2017-01-10T00:00:00.000,12609.50025
39,SE,Sudeste/Centro-Oeste,2017-01-10T00:00:00.000,42831.93625
40,N,Norte,2017-01-11T00:00:00.000,5155.35170833
41,NE,Nordeste,2017-01-11T00:00:00.000,10872.43908333
42,S,Sul,2017-01-11T00:00:00.000,12668.29420833
43,SE,Sudeste/Centro-Oeste,2017-01-11T00:00:00.000,42585.13970833
44,N,Norte,2017-01-12T00:00:00.000,5188.70345833
45,NE,Nordeste,2017-01-12T00:00:00.000,10942.401375
46,S,Sul,2017-01-12T00:00:00.000,12676.361125
47,SE,Sudeste/Centro-Oeste,2017-01-12T00:00:00.000,41274.29258333
48,N,Norte,2017-01-13T00:00:00.000,5081.83304167
49,NE,Nordeste,2017-01-13T00:00:00.000,10877.101875
50,S,Sul,2017-01-13T00:00:00.000,12875.65291667
51,SE,Sudeste/Centro-Oeste,2017-01-13T00:00:00.000,39861.18183333
52,N,Norte,2017-01-14T00:00:00.000,4830.14416667
53,NE,Nordeste,2017-01-14T00:00:00.000,10444.03954167
54,S,Sul,2017-01-14T00:00:00.000,11510.314
55,SE,Sudeste/Centro-Oeste,2017-01-14T00:00:00.000,36651.71358333
56,N,Norte,2017-01-15T00:00:00.000,4669.26725
57,NE,Nordeste,2017-01-15T00:00:00.000,9626.90875
58,S,Sul,2017-01-15T00:00:00.000,10367.07933333
59,SE,Sudeste/Centro-Oeste,2017-01-15T00:00:00.000,33807.99575
60,N,Norte,2017-01-16T00:00:00.000,5146.26920833
61,NE,Nordeste,2017-01-16T00:00:00.000,10709.17054167
62,S,Sul,2017-01-16T00:00:00.000,13219.74141667
63,SE,Sudeste/Centro-Oeste,2017-01-16T00:00:00.000,39868.528125
64,N,Norte,2017-01-17T00:00:00.000,5149.4125
65,NE,Nordeste,2017-01-17T00:00:00.000,10743.01258333
66,S,Sul,2017-01-17T00:00:00.000,13117.796
67,SE,Sudeste/Centro-Oeste,2017-01-17T00:00:00.000,39933.61879167
68,N,Norte,2017-01-18T00:00:00.000,4959.74816667
69,NE,Nordeste,2017-01-18T00:00:00.000,10954.94441667
70,S,Sul,2017-01-18T00:00:00.000,13391.40945833
71,SE,Sudeste/Centro-Oeste,2017-01-18T00:00:00.000,40361.70404167
72,N,Norte,2017-01-19T00:00:00.000,4988.991875
73,NE,Nordeste,2017-01-19T00:00:00.000,10957.39908333
74,S,Sul,2017-01-19T00:00:00.000,13236.464125
75,SE,Sudeste/Centro-Oeste,2017-01-19T00:00:00.000,40001.644625
76,N,Norte,2017-01-20T00:00:00.000,5323.55266667
