forecast_date,sarima_nordeste,sarima_norte,sarima_sul,sarima_sudeste_centroeste,forecast_value_total
2025-01-01,14052.67707239592,8508.761486071606,12577.796202831645,48207.46986644018,83346.70462773935
2025-01-02,13406.52069786686,8237.657781317172,11403.941939863496,41552.53270657129,74600.65312561882
2025-01-03,12470.938403655426,8043.021525809539,10582.361602515552,39627.696191002055,70724.01772298256
2025-01-04,12976.761323138979,8437.822315369609,13775.31185905762,46149.98833668574,81339.88383425194
2025-01-05,14014.130801995028,8403.979502687453,14627.549074653278,47726.59732341514,84772.25670275089
2025-01-06,14380.637638283839,8562.614967823652,14166.68814569485,49643.801904666434,86753.74265646878
2025-01-07,14472.741766087356,8575.727456158003,13658.501415742303,48264.505910235755,84971.47654822342
2025-01-08,14647.38919096167,8612.97284701955,13293.567065578152,45733.7180150886,82287.64711864798
2025-01-09,12194.281298736476,8380.26365978574,11264.774115029608,41862.53062810988,73701.8497016617
2025-01-10,11763.067809306809,7830.750730699737,9038.405328781868,37123.829839269245,65756.05370805766
2025-01-11,13235.813446121878,8455.740590184812,12986.162991774323,45464.55732384216,80142.27435192317
2025-01-12,14033.966186946676,8609.298230650571,13798.88702589673,46634.00691883181,83076.15836232579
2025-01-13,14289.283032904517,8508.986024670963,13689.11692470397,47048.26718229308,83535.65316457253
2025-01-14,14198.741676310767,8337.773864129102,13014.934308725271,46572.061519107236,82123.51136827237
2025-01-15,13841.128263662637,8366.390795272102,13301.812576304139,47122.83449724614,82632.16613248501
2025-01-16,13362.635033865394,8093.103221305187,12167.363716472757,42845.63402048851,76468.73599213186
2025-01-17,12174.594244622585,7848.4583321387045,11028.504400927291,38497.45464024594,69549.01161793452
2025-01-18,13454.490873004006,8379.808748149993,13583.129780419624,43412.833255691956,78830.26265726559
2025-01-19,13810.023851705773,8469.64982819038,14494.01770430035,45183.150128195266,81956.84151239177
2025-01-20,13906.95717314072,8237.296272266081,15401.920937258103,47867.25049929979,85413.42488196469
2025-01-21,13991.260788948837,8388.46745191102,15466.861458246847,47953.34715709281,85799.9368561995
2025-01-22,13878.182453182431,8432.732134620883,14631.920105656704,46967.17528957589,83910.00998303591
2025-01-23,13405.251835485155,8176.722016425537,11844.757207847892,43666.05436660375,77092.78542636233
2025-01-24,12492.325384401927,7891.248691853194,10624.31285103846,40919.908175181,71927.79510247459
2025-01-25,13865.45883110361,8388.938656868431,13625.089159002973,43772.61741876083,79652.10406573584
2025-01-26,14190.422300493328,8404.836542853982,14751.95286027626,44614.9383675809,81962.15007120447
2025-01-27,14295.776116433728,8638.261610358966,14937.143725796617,45590.48557232495,83461.66702491426
2025-01-28,14297.401262939877,8506.50050451101,14719.635725570426,45768.327207150025,83291.86470017134
2025-01-29,13957.85162926095,8284.806470479522,14992.901667819158,45077.64696577568,82313.2067333353
2025-01-30,13402.099471770429,8093.29944701264,12618.653685717512,40960.168054095324,75074.2206585959
2025-01-31,12080.163344550132,7772.633389791537,11134.13488911169,37511.29758683405,68498.2292102874
2025-02-01,13985.797382577744,8473.500580657173,14374.63504722082,45418.275300813686,82252.20831126942
2025-02-02,14292.468016643852,8456.251293621091,15408.460832969724,47152.7274693749,85309.90761260956
2025-02-03,14474.302860994403,8464.324663611336,15340.754453817462,46092.66747531956,84372.04945374276
2025-02-04,14393.217488920467,8472.631761217282,15118.397558648461,46891.69700689221,84875.94381567842
2025-02-05,14037.232896648346,8537.292580231599,14502.43033439693,47220.486353950146,84297.44216522702
2025-02-06,13662.691436781897,7998.68861241791,11848.784467591193,41929.71164078948,75439.87615758048
2025-02-07,11797.699219175052,7589.4027716372375,9203.237591067596,35001.77418082046,63592.11376270035
2025-02-08,14359.205986402992,8617.064844539571,14945.021662763864,44886.79075801095,82808.08325171738
2025-02-09,14239.831786018107,8369.562320530935,15994.584533953315,45807.33186932929,84411.31050983164
2025-02-10,14229.077036907778,8432.415324786183,14434.0021042679,47800.05066177075,84895.5451277326
2025-02-11,14252.456624121543,8512.08423966694,13607.537353857575,44079.35170549261,80451.42992313867
2025-02-12,14017.392676780937,8332.585512128797,13902.074288900147,42672.84160236451,78924.89408017439
2025-02-13,12487.074518695972,7771.935975554725,10774.563601851605,36554.45090929126,67588.02500539356
2025-02-14,12218.818357172506,7679.263624115294,12390.531539140413,39056.41142967446,71345.02495010267
2025-02-15,13802.209816219749,8209.074403079432,15754.062133015053,44482.048329072015,82247.39468138624
2025-02-16,14356.462994272859,8496.781167891933,16256.890686893199,46554.05860324933,85664.19345230731
2025-02-17,14469.367356019084,8466.91649283509,15369.321140059992,46684.33770337353,84989.9426922877
2025-02-18,13856.371426738246,8150.35273094432,13492.992360516366,44366.26351885895,79865.98003705787
2025-02-19,14088.8524515526,8382.410467471353,14521.126478083794,46836.009759678345,83828.3991567861
2025-02-20,13746.364016959336,8056.628453917803,12467.322883461002,40602.70584498804,74873.02119932618
2025-02-21,13041.623574704327,7793.898640362963,12058.60431825875,38070.2171362695,70964.34366959555
2025-02-22,14136.920468460741,8439.845277939683,14863.75914352896,43627.481736794085,81068.00662672347
2025-02-23,14221.200441204963,8453.633778641488,15367.48381639195,46164.265327331734,84206.58336357013
2025-02-24,13904.28687016058,8392.951103213582,16136.977940228906,46893.336520407596,85327.55243401066
2025-02-25,13863.780835523325,8446.649544930824,16736.421910144018,50153.176732525106,89200.02902312326
2025-02-26,13715.782908400946,8496.468981530557,15149.274770373133,49741.183367388454,87102.71002769309
2025-02-27,13304.185713692026,8289.128384038842,12584.755795331323,45011.635439995065,79189.70533305725
2025-02-28,12695.533489353515,8116.882697566038,12169.56127947013,41341.55466134225,74323.53212773193
2025-03-01,14210.705635671644,8619.691635505622,15575.657996470694,46973.75993970878,85379.81520735675
2025-03-02,14622.968724760309,8593.524651015434,15683.379517355412,51029.342160111126,89929.21505324228
2025-03-03,14490.854720790632,8489.238172482783,14107.518336358165,47816.44667239813,84904.05790202972
2025-03-04,14322.491811184876,8386.813816940181,14053.959730073451,45936.81170241671,82700.07706061522
2025-03-05,13929.128346191716,8215.053346763225,14665.937058376288,45376.576594374455,82186.69534570568
2025-03-06,13291.700327035413,7692.385353883252,14082.384729793917,45827.142116379415,80893.612527092
2025-03-07,12530.602243163728,7264.656504202436,11634.73162719523,43484.0905174046,74914.08089196599
2025-03-08,14039.440721714604,7955.530782048658,13286.015745132558,49096.25585872512,84377.24310762093
2025-03-09,14294.650887237287,8077.646890930771,13819.880599597618,49723.24399915665,85915.42237692233
2025-03-10,14283.531770397598,8029.484752976371,13891.185027256794,48951.23815466849,85155.43970529926
2025-03-11,14401.149411722705,7969.247037236359,14616.118416535706,47475.96269064243,84462.4775561372
2025-03-12,14168.617461872025,8055.516598202009,14695.596548074069,46263.4119961714,83183.14260431951
2025-03-13,13611.885443402914,7903.249084894928,12436.906841142047,43904.675613287334,77856.71698272723
2025-03-14,12807.261199445235,7539.9525467417025,11149.865592183505,40940.90928810131,72437.98862647175
2025-03-15,14178.614275587708,8123.424644526654,14211.184762194782,46777.93090845555,83291.1545907647
2025-03-16,14412.278559619679,8148.570498138743,14311.40274977403,48067.01294170065,84939.2647492331
2025-03-17,14445.869038024503,8073.730726116731,14149.993326753993,46911.12242714927,83580.7155180445
2025-03-18,14415.030855444815,8005.939329900788,14473.764714458533,47473.99327392508,84368.72817372922
2025-03-19,14138.031098566364,8022.119923212747,14217.630864041213,47543.826289129815,83921.60817495015
2025-03-20,13460.23430681315,7788.153163574642,12451.664991358053,43626.85576210919,77326.90822385503
2025-03-21,12647.400945113624,7558.645475605921,11932.481152129443,40041.22395227986,72179.75152512886
2025-03-22,14205.093615679394,8219.253278766893,14739.30031932071,46848.768819536446,84012.41603330344
2025-03-23,14190.580643289339,8105.2554448028195,12713.64480608295,43678.042609193166,78687.52350336827
2025-03-24,13504.820187515834,7859.084180660098,12241.86586728241,39940.851162950974,73546.62139840932
2025-03-25,12446.840061546081,7461.7369068654725,11625.789320708885,38960.344857496115,70494.71114661655
